 	Label	Area	X	Y	Circ.	IntDen	RawIntDen	AR	Round	Solidity
00001.bmp (green):6,1762,872.65,713.10,0.50,91468,91468,3.45,0.29,0.92,
00006.bmp (green):6,1840,874.28,777.94,0.56,105887,105887,3.47,0.29,0.96,
00011.bmp (green):6,2007,876.34,846.07,0.46,107149,107149,4.11,0.24,0.93,
00016.bmp (green):6,2172,888.90,855.62,0.54,150990,150990,2.08,0.48,0.80,
00021.bmp (green):6,1918,887.64,855.47,0.58,143031,143031,1.51,0.66,0.83,
00026.bmp (green):6,2184,921.45,866.08,0.55,182900,182900,3.12,0.32,0.94,
00031.bmp (green):6,2266,963.82,870.27,0.50,175747,175747,3.52,0.28,0.91,
00036.bmp (green):6,2290,1033.55,876.07,0.54,199097,199097,3.43,0.29,0.95,
00041.bmp (green):6,2432,1104.63,876.55,0.56,221728,221728,3.45,0.29,0.96,
00046.bmp (green):6,2489,1154.22,873.00,0.55,239123,239123,3.09,0.32,0.91,
00051.bmp (green):6,2306,1151.17,875.59,0.58,211841,211841,2.48,0.40,0.89,
00056.bmp (green):6,2915,1159.03,849.90,0.58,272070,272070,3.03,0.33,0.93,
00061.bmp (green):6,2554,1177.45,805.07,0.56,206640,206640,2.71,0.37,0.86,
00066.bmp (green):6,2539,1176.46,764.85,0.56,204237,204237,2.72,0.37,0.88,
00071.bmp (green):6,2276,1174.99,717.11,0.53,171085,171085,3.12,0.32,0.94,
00076.bmp (green):6,2438,1168.61,651.56,0.50,189675,189675,3.51,0.29,0.88,
00081.bmp (green):6,2440,1136.62,600.65,0.51,230045.00,230045.00,3.40,0.29,0.89,
00086.bmp (green):6,2280,1022.36,577.50,0.50,187430,187430,3.76,0.27,0.95,
00091.bmp (green):6,2341,906.85,585.19,0.51,154740,154740,3.75,0.27,0.95,
00096.bmp (green):6,1917,896.60,592.20,0.51,95990,95990,2.45,0.41,0.82,
00101.bmp (green):6,2050,883.26,612.70,0.51,95312,95312,3.41,0.29,0.87,
00106.bmp (green):6,2148,873.13,641.17,0.48,98203,98203,3.60,0.28,0.87,
00111.bmp (green):6,2409,902.46,674.42,0.46,150143,150143,4.06,0.25,0.93,
00116.bmp (green):6,2366,967.86,733.52,0.48,189795,189795,3.95,0.25,0.92,
00121.bmp (green):6,2046,990.02,753.00,0.56,142746,142746,1.41,0.71,0.82,
00126.bmp (green):6,2449,1002.66,755.14,0.53,192209,192209,2.60,0.38,0.80,
00131.bmp (green):6,2427,1042.59,633.12,0.55,160174,160174,3.31,0.30,0.95,
00136.bmp (green):6,2084,1056.50,611.13,0.56,115409,115409,3.06,0.33,0.92,
00141.bmp (green):6,2336,1021.54,583.13,0.50,133315,133315,2.13,0.47,0.74,
00146.bmp (green):6,2060,1009.73,570.88,0.52,130065,130065,3.52,0.28,0.90,
00151.bmp (green):6,1895,957.39,566.40,0.44,109616,109616,4.36,0.23,0.89,
00156.bmp (green):6,1748,897.84,567.45,0.49,93735,93735,3.63,0.28,0.93,
00161.bmp (green):6,1572,881.82,577.43,0.59,81528,81528,1.82,0.55,0.81,
00166.bmp (green):6,1678,873.97,631.53,0.53,75627,75627,3.41,0.29,0.93,
00171.bmp (green):6,1592,875.52,695.19,0.60,86060,86060,2.87,0.35,0.94,
00176.bmp (green):6,1922,876.77,749.48,0.55,107784,107784,3.31,0.30,0.94,
00181.bmp (green):6,1794,879.53,798.77,0.55,118484,118484,3.03,0.33,0.93,
00186.bmp (green):6,2018,876.32,848.38,0.47,116251,116251,3.33,0.30,0.92,
00191.bmp (green):6,2009,879.57,848.70,0.49,119543,119543,3.11,0.32,0.89,
00196.bmp (green):6,2477,912.82,872.95,0.51,187598,187598,3.70,0.27,0.93,
00201.bmp (green):6,2462,980.67,876.70,0.54,197014.00,197014.00,3.44,0.29,0.96,
00206.bmp (green):6,2386,1052.52,876.59,0.56,211360,211360,3.27,0.31,0.94,
00211.bmp (green):6,2302,1097.53,859.53,0.54,193948,193948,2.47,0.41,0.84,
00216.bmp (green):6,2519,1154.13,828.26,0.60,239005,239005,2.79,0.36,0.92,
00221.bmp (green):6,2572,1126.89,721.64,0.54,216196,216196,3.52,0.28,0.94,
00226.bmp (green):6,2489,1061.87,627.81,0.50,186007,186007,3.80,0.26,0.93,
00231.bmp (green):6,2128,1018.39,576.07,0.52,150178,150178,3.28,0.30,0.91,
00236.bmp (green):6,2092,985.44,566.51,0.42,130387,130387,3.38,0.30,0.93,
00241.bmp (green):6,2122,915.24,568.87,0.51,129443,129443,3.94,0.25,0.95,
00246.bmp (green):6,1733,896.53,572.12,0.50,79028,79028,2.46,0.41,0.77,
00251.bmp (green):6,1829,884.39,577.27,0.53,95686,95686,2.70,0.37,0.84,
00256.bmp (green):6,1774,871.50,606.28,0.49,76103,76103,3.67,0.27,0.92,
00261.bmp (green):6,1919,871.38,669.17,0.48,84717,84717,3.68,0.27,0.93,
00266.bmp (green):6,2076,872.76,742.91,0.48,101528,101528,3.91,0.26,0.94,
00271.bmp (green):6,2282,873.12,818.15,0.49,121554,121554,3.96,0.25,0.93,
