 	Label	Area	X	Y	Circ.	IntDen	RawIntDen	AR	Round	Solidity
00001.bmp (green):4,2521,254.59,571.11,0.40,166214,166214,4.34,0.23,0.94,
00006.bmp (green):4,2524,194.03,574.97,0.44,178871,178871,4.32,0.23,0.95,
00011.bmp (green):4,2508,136.82,579.08,0.44,186660,186660,3.87,0.26,0.88,
00016.bmp (green):4,2408,121.78,592.35,0.49,166331,166331,2.70,0.37,0.82,
00021.bmp (green):4,2709,109.06,642.30,0.46,152555,152555,4.25,0.24,0.92,
00026.bmp (green):4,2739,114.08,713.16,0.50,185482,185482,3.73,0.27,0.95,
00031.bmp (green):4,2656,117.95,773.86,0.51,188166,188166,3.70,0.27,0.95,
00036.bmp (green):4,2648,123.21,843.44,0.55,203873,203873,3.29,0.30,0.94,
00041.bmp (green):4,2803,137.56,861.10,0.53,244837.00,244837.00,2.62,0.38,0.84,
00046.bmp (green):4,2537,139.01,856.60,0.56,222619,222619,1.65,0.60,0.79,
00051.bmp (green):4,2648,137.42,855.30,0.50,225264,225264,2.34,0.43,0.81,
00056.bmp (green):4,2532,145.10,864.64,0.49,208489.00,208489.00,3.47,0.29,0.88,
00061.bmp (green):4,2644,183.13,879.66,0.50,233146.00,233146.00,3.77,0.27,0.93,
00066.bmp (green):4,2626,253.57,876.33,0.51,238082.00,238082.00,3.70,0.27,0.96,
00071.bmp (green):4,2570,310.94,854.51,0.47,219960,219960,4.05,0.25,0.93,
00076.bmp (green):4,2531,362.76,809.24,0.48,218784,218784,3.93,0.25,0.94,
00081.bmp (green):4,2472,392.95,784.12,0.46,198187,198187,3.69,0.27,0.90,
00086.bmp (green):4,2379,405.10,759.05,0.50,154148,154148,3.72,0.27,0.92,
00091.bmp (green):4,2311,412.58,708.88,0.44,134331,134331,4.22,0.24,0.94,
00096.bmp (green):4,2300,408.22,655.99,0.46,126411,126411,3.76,0.27,0.91,
00101.bmp (green):4,2162,406.81,608.82,0.47,105274,105274,3.70,0.27,0.94,
00106.bmp (green):4,2300,394.03,593.02,0.40,98875,98875,3.22,0.31,0.75,
00111.bmp (green):4,2018,403.82,597.17,0.46,94051,94051,3.03,0.33,0.82,
00116.bmp (green):4,1897,396.78,591.42,0.54,81057,81057,2.58,0.39,0.82,
00121.bmp (green):4,2013,378.24,578.61,0.52,107249,107249,3.26,0.31,0.89,
00126.bmp (green):4,2037,346.06,573.64,0.46,118985,118985,4.50,0.22,0.93,
00131.bmp (green):4,2139,272.16,571.44,0.49,138227,138227,4.04,0.25,0.95,
00136.bmp (green):4,2226,189.16,572.46,0.48,151745,151745,4.00,0.25,0.96,
00141.bmp (green):4,2375,139.49,575.36,0.42,150706,150706,4.14,0.24,0.83,
00146.bmp (green):4,2425,109.83,614.88,0.56,160474,160474,2.87,0.35,0.91,
00151.bmp (green):4,2484,110.05,651.98,0.54,156498,156498,3.15,0.32,0.92,
00156.bmp (green):4,2375,113.36,707.56,0.55,156088,156088,3.26,0.31,0.95,
00161.bmp (green):4,2485,118.28,820.68,0.52,173965.00,173965.00,3.48,0.29,0.95,
00166.bmp (green):4,2366,117.27,820.73,0.54,148330,148330,3.05,0.33,0.87,
00171.bmp (green):4,2549,119.96,827.19,0.58,197580,197580,1.81,0.55,0.80,
00176.bmp (green):4,2336,119.18,839.80,0.56,150309,150309,3.07,0.33,0.91,
00181.bmp (green):4,2847,131.22,856.88,0.50,215618,215618,2.40,0.42,0.75,
00186.bmp (green):4,2429,123.62,839.22,0.56,193736.00,193736.00,1.38,0.72,0.83,
00191.bmp (green):4,2631,133.40,852.20,0.52,216558,216558,3.11,0.32,0.89,
00196.bmp (green):4,2777,168.30,878.80,0.48,246905,246905,3.78,0.26,0.89,
00201.bmp (green):4,2502,239.66,879.87,0.54,202536,202536,3.48,0.29,0.94,
00206.bmp (green):4,2348,290.07,866.89,0.50,193338.00,193338.00,2.74,0.37,0.79,
00211.bmp (green):4,2505,316.55,851.07,0.50,213898,213898,3.77,0.27,0.93,
00216.bmp (green):4,2497,366.39,762.40,0.45,191059.00,191059.00,4.03,0.25,0.93,
00221.bmp (green):4,2363,398.50,711.52,0.51,150689,150689,3.74,0.27,0.93,
00226.bmp (green):4,2357,410.03,656.96,0.49,121733,121733,4.09,0.24,0.95,
00231.bmp (green):4,2399,400.66,596.10,0.45,131642,131642,2.46,0.41,0.73,
00236.bmp (green):4,2086,391.70,587.39,0.47,100358,100358,3.21,0.31,0.85,
00241.bmp (green):4,2097,399.38,590.87,0.55,103728.00,103728.00,1.68,0.59,0.79,
00246.bmp (green):4,2135,400.11,596.20,0.38,91571,91571,2.34,0.43,0.68,
00251.bmp (green):4,1924,408.15,601.52,0.56,81337,81337,3.65,0.27,0.97,
00256.bmp (green):4,1997,390.98,600.72,0.61,104190,104190,2.64,0.38,0.89,
00261.bmp (green):4,1931,383.24,579.98,0.53,117574,117574,2.73,0.37,0.89,
00266.bmp (green):4,1902,318.41,574.56,0.55,137036,137036,3.38,0.30,0.95,
00271.bmp (green):4,2086,252.02,573.69,0.50,131676,131676,4.04,0.25,0.95,
