 	Label	Area	X	Y	Circ.	IntDen	RawIntDen	AR	Round	Solidity
00001.bmp (green):2,2146,617.20,364.03,0.47,91911,91911,3.82,0.26,0.92,
00006.bmp (green):2,2321,669.38,370.45,0.46,126821,126821,3.48,0.29,0.88,
00011.bmp (green):2,2099,681.92,370.51,0.52,89200,89200,3.62,0.28,0.93,
00016.bmp (green):2,1992,680.04,367.94,0.51,86814,86814,3.44,0.29,0.91,
00021.bmp (green):2,1986,685.58,369.06,0.50,103778,103778,3.34,0.30,0.92,
00026.bmp (green):2,1912,683.04,368.77,0.54,81187,81187,3.43,0.29,0.94,
00031.bmp (green):2,2048,694.21,367.72,0.45,85110,85110,3.79,0.26,0.89,
00036.bmp (green):2,2047,720.28,367.24,0.45,112730,112730,3.77,0.27,0.92,
00041.bmp (green):2,1804,733.92,371.22,0.51,93690,93690,3.81,0.26,0.93,
00046.bmp (green):2,2014,756.87,355.24,0.42,96093,96093,4.12,0.24,0.86,
00051.bmp (green):2,2075,771.90,328.84,0.48,112769,112769,3.97,0.25,0.92,
00056.bmp (green):2,1899,773.11,305.71,0.48,104754,104754,3.08,0.33,0.88,
00061.bmp (green):2,2286,777.41,301.75,0.43,98787,98787,3.68,0.27,0.85,
00066.bmp (green):2,2397,771.90,288.02,0.53,129714,129714,1.90,0.53,0.77,
00071.bmp (green):2,1949,771.38,290.60,0.56,97941,97941,3.12,0.32,0.91,
00076.bmp (green):2,2066,780.62,297.27,0.55,112125,112125,1.34,0.75,0.85,
00081.bmp (green):2,1668,782.36,301.77,0.61,81884,81884,2.31,0.43,0.88,
00086.bmp (green):2,2168,769.16,291.95,0.48,129792,129792,2.05,0.49,0.75,
00091.bmp (green):2,2126,760.80,291.61,0.51,117058,117058,3.39,0.30,0.87,
00096.bmp (green):2,2264,751.76,288.53,0.50,134230,134230,3.40,0.29,0.89,
00101.bmp (green):2,2208,747.07,311.32,0.53,129458,129458,2.48,0.40,0.82,
00106.bmp (green):2,1968,741.39,311.33,0.54,125922,125922,2.83,0.35,0.90,
00111.bmp (green):2,2108,728.93,334.86,0.51,128987,128987,3.61,0.28,0.91,
00116.bmp (green):2,2203,694.16,359.87,0.50,129356,129356,3.50,0.29,0.92,
00121.bmp (green):2,1978,654.00,373.26,0.52,117365,117365,3.03,0.33,0.90,
00126.bmp (green):2,1985,617.32,374.47,0.43,120360,120360,3.55,0.28,0.91,
00131.bmp (green):2,2048,585.88,374.92,0.42,100112,100112,4.55,0.22,0.91,
00136.bmp (green):2,1954,566.42,372.81,0.47,107981,107981,4.21,0.24,0.94,
00141.bmp (green):2,2121,524.05,369.46,0.45,121276,121276,4.19,0.24,0.89,
00146.bmp (green):2,2098,510.64,360.16,0.52,115971.00,115971.00,3.21,0.31,0.86,
00151.bmp (green):2,2204,513.96,353.16,0.55,139893,139893,3.35,0.30,0.93,
00156.bmp (green):2,2136,504.80,356.48,0.49,107308,107308,2.61,0.38,0.80,
00161.bmp (green):2,1806,508.67,352.78,0.62,111576,111576,2.32,0.43,0.87,
00166.bmp (green):2,1938,505.74,362.58,0.58,107138,107138,2.66,0.38,0.87,
00171.bmp (green):2,1878,508.46,359.74,0.61,128957.00,128957.00,2.29,0.44,0.90,
00176.bmp (green):2,1685,507.38,363.94,0.56,75863,75863,1.85,0.54,0.82,
00181.bmp (green):2,1993,509.60,367.96,0.53,112451,112451,3.25,0.31,0.89,
00186.bmp (green):2,1783,507.45,371.15,0.57,106466,106466,2.52,0.40,0.86,
00191.bmp (green):2,1844,500.53,352.51,0.49,99358,99358,3.88,0.26,0.89,
00196.bmp (green):2,1908,499.98,342.86,0.49,99734,99734,3.70,0.27,0.91,
00201.bmp (green):2,2505,489.98,295.95,0.49,124384,124384,4.16,0.24,0.90,
00206.bmp (green):2,2492,506.66,214.43,0.45,148573,148573,4.04,0.25,0.93,
00211.bmp (green):2,2889,532.78,147.29,0.44,179203,179203,4.33,0.23,0.92,
00216.bmp (green):2,2763,551.17,92.81,0.41,181918,181918,4.21,0.24,0.93,
00221.bmp (green):2,2870,575.20,71.30,0.52,205389,205389,3.39,0.30,0.87,
00226.bmp (green):2,2472,569.76,73.09,0.58,184439.00,184439.00,2.21,0.45,0.83,
00231.bmp (green):2,2355,570.17,82.42,0.63,177951,177951,2.38,0.42,0.88,
00236.bmp (green):2,2813,520.27,73.58,0.52,223247.00,223247.00,3.55,0.28,0.90,
00241.bmp (green):2,2634,518.31,73.46,0.54,205519,205519,1.98,0.50,0.78,
00246.bmp (green):2,2629,529.53,73.10,0.55,217301,217301,2.42,0.41,0.84,
00251.bmp (green):2,2399,523.14,81.35,0.65,196996,196996,2.66,0.38,0.95,
00256.bmp (green):2,2448,515.73,70.99,0.60,196835,196835,2.41,0.41,0.85,
00261.bmp (green):2,2607,537.48,98.33,0.50,196330.00,196330.00,2.05,0.49,0.78,
00266.bmp (green):2,2527,528.94,205.87,0.46,157045,157045,3.94,0.25,0.93,
00271.bmp (green):2,2146,500.50,289.48,0.50,101123,101123,3.64,0.27,0.93,
