 	Label	Area	X	Y	Circ.	IntDen	RawIntDen	AR	Round	Solidity
00001.bmp (green):3,1963,895.25,368.77,0.49,90279,90279,3.68,0.27,0.90,
00006.bmp (green):3,1574,892.38,367.90,0.49,68705,68705,2.17,0.46,0.74,
00011.bmp (green):3,1689,880.19,343.76,0.48,84426,84426,3.34,0.30,0.92,
00016.bmp (green):3,2178,883.04,336.81,0.48,95743,95743,2.46,0.41,0.75,
00021.bmp (green):3,1648,873.27,319.45,0.47,69051,69051,4.26,0.23,0.94,
00026.bmp (green):3,1847,875.89,280.47,0.49,92477,92477,3.98,0.25,0.94,
00031.bmp (green):3,1897,877.14,248.13,0.52,98795,98795,3.53,0.28,0.94,
00036.bmp (green):3,2181,884.11,222.74,0.52,139628,139628,3.25,0.31,0.86,
00041.bmp (green):3,1849,882.87,219.20,0.53,103606,103606,2.40,0.42,0.79,
00046.bmp (green):3,2203,890.65,218.63,0.51,127228,127228,1.96,0.51,0.75,
00051.bmp (green):3,1912,895.11,241.46,0.59,121972,121972,2.66,0.38,0.91,
00056.bmp (green):3,2423,932.16,250.84,0.46,150932,150932,2.37,0.42,0.71,
00061.bmp (green):3,2161,929.67,272.24,0.48,140748,140748,1.75,0.57,0.71,
00066.bmp (green):3,2709,968.13,281.07,0.42,166314,166314,4.27,0.23,0.83,
00071.bmp (green):3,2663,994.52,302.80,0.45,176203.00,176203.00,4.22,0.24,0.92,
00076.bmp (green):3,2524,1034.23,332.63,0.48,172462,172462,3.97,0.25,0.93,
00081.bmp (green):3,2468,1063.87,356.57,0.52,162585,162585,3.83,0.26,0.92,
00086.bmp (green):3,2318,1083.12,367.67,0.45,160739,160739,3.34,0.30,0.82,
00091.bmp (green):3,2259,1106.78,373.04,0.50,151474.00,151474.00,3.94,0.25,0.93,
00096.bmp (green):3,2518,1140.69,365.03,0.45,169736,169736,2.89,0.35,0.72,
00101.bmp (green):3,2336,1154.84,371.98,0.46,156704,156704,3.47,0.29,0.87,
00106.bmp (green):3,2024,1164.54,371.44,0.53,138658,138658,3.01,0.33,0.90,
00111.bmp (green):3,2142,1164.56,371.26,0.51,128201,128201,3.38,0.30,0.88,
00116.bmp (green):3,2081,1162.97,371.59,0.50,121869,121869,3.31,0.30,0.87,
00121.bmp (green):3,2152,1167.47,369.16,0.50,145550,145550,3.19,0.31,0.87,
00126.bmp (green):3,2416,1171.14,362.77,0.43,141799,141799,2.19,0.46,0.69,
00131.bmp (green):3,1940,1158.12,369.14,0.58,131979,131979,2.36,0.42,0.85,
00136.bmp (green):3,1926,1134.78,371.49,0.55,114161,114161,3.49,0.29,0.95,
00141.bmp (green):3,2313,1164.18,357.99,0.48,165234,165234,3.58,0.28,0.86,
00146.bmp (green):3,2460,1169.11,354.16,0.54,192796,192796,2.71,0.37,0.85,
00151.bmp (green):3,2391,1168.32,354.11,0.52,168184,168184,3.13,0.32,0.88,
00156.bmp (green):3,2312,1167.39,354.68,0.54,162290,162290,2.95,0.34,0.83,
00161.bmp (green):3,2392,1167.93,355.16,0.53,172998,172998,3.12,0.32,0.88,
00166.bmp (green):3,2343,1168.51,355.00,0.51,156847,156847,2.92,0.34,0.80,
00171.bmp (green):3,2345,1169.30,356.93,0.53,159563,159563,2.96,0.34,0.86,
00176.bmp (green):3,2287,1167.89,357.05,0.52,149617,149617,2.84,0.35,0.82,
00181.bmp (green):3,2149,1168.89,361.31,0.42,137270,137270,3.28,0.31,0.84,
00186.bmp (green):3,2150,1163.94,361.49,0.50,157530,157530,3.56,0.28,0.91,
00191.bmp (green):3,2054,1129.93,372.93,0.54,125700,125700,3.65,0.27,0.94,
00196.bmp (green):3,2345,1123.73,351.42,0.50,157105,157105,3.11,0.32,0.79,
00201.bmp (green):3,2005,1128.63,352.81,0.57,136241,136241,1.73,0.58,0.82,
00206.bmp (green):3,1857,1121.08,359.16,0.47,111687,111687,2.57,0.39,0.83,
00211.bmp (green):3,1979,1102.92,370.63,0.57,126539,126539,1.97,0.51,0.88,
00216.bmp (green):3,2211,1065.54,361.49,0.51,134341,134341,1.15,0.87,0.79,
00221.bmp (green):3,2093,1060.42,344.19,0.53,111723,111723,3.10,0.32,0.87,
00226.bmp (green):3,2498,1051.44,315.09,0.51,172040,172040,3.68,0.27,0.93,
00231.bmp (green):3,2421,1005.90,328.75,0.49,181804.00,181804.00,3.97,0.25,0.95,
00236.bmp (green):3,2449,931.14,345.31,0.43,155053,155053,4.22,0.24,0.93,
00241.bmp (green):3,2180,900.49,354.98,0.50,112401,112401,3.40,0.29,0.86,
00246.bmp (green):3,1976,898.94,347.29,0.57,107915,107915,2.25,0.45,0.79,
00251.bmp (green):3,1945,897.62,336.56,0.44,90692,90692,2.75,0.36,0.75,
00256.bmp (green):3,2130,890.21,292.43,0.44,113501,113501,4.01,0.25,0.94,
00261.bmp (green):3,2311,880.61,264.04,0.42,118914,118914,4.14,0.24,0.93,
00266.bmp (green):3,2183,874.70,225.01,0.50,108173,108173,4.01,0.25,0.94,
00271.bmp (green):3,2429,874.38,171.45,0.44,119850.00,119850.00,4.56,0.22,0.92,
