 	Label	Area	X	Y	Circ.	IntDen	RawIntDen	AR	Round	Solidity
00001.bmp (green):5,2679,624.47,876.71,0.53,171043,171043,3.43,0.29,0.95,
00006.bmp (green):5,2660,579.03,875.91,0.52,156804,156804,3.76,0.27,0.95,
00011.bmp (green):5,2621,528.25,875.86,0.54,154076,154076,3.59,0.28,0.96,
00016.bmp (green):5,2623,520.74,866.61,0.56,171758,171758,3.03,0.33,0.89,
00021.bmp (green):5,2525,510.57,863.33,0.55,164188,164188,2.64,0.38,0.85,
00026.bmp (green):5,2526,504.29,846.02,0.49,141834,141834,3.28,0.30,0.87,
00031.bmp (green):5,2320,494.06,812.39,0.47,120130,120130,4.17,0.24,0.91,
00036.bmp (green):5,2128,494.74,762.57,0.47,105705,105705,3.93,0.25,0.92,
00041.bmp (green):5,1879,496.10,712.53,0.54,94882,94882,3.38,0.30,0.94,
00046.bmp (green):5,1504,493.52,651.17,0.53,68409,68409,2.70,0.37,0.92,
00051.bmp (green):5,945,496.64,585.74,0.42,31477,31477,2.66,0.38,0.84,
00056.bmp (green):5,2207,520.62,585.50,0.43,96283,96283,3.88,0.26,0.88,
00061.bmp (green):5,2170,561.26,568.98,0.50,95257,95257,3.98,0.25,0.95,
00066.bmp (green):5,2123,616.66,567.43,0.45,88662,88662,4.39,0.23,0.91,
00071.bmp (green):5,1716,670.39,567.85,0.56,83636,83636,3.02,0.33,0.95,
00076.bmp (green):5,1591,707.22,566.89,0.28,60989,60989,3.54,0.28,0.83,
00081.bmp (green):5,2075,752.17,566.47,0.42,95348,95348,4.24,0.24,0.95,
00086.bmp (green):5,1181,768.17,571.80,0.20,40518,40518,2.88,0.35,0.73,
00091.bmp (green):5,1743,778.04,592.63,0.46,73497,73497,3.59,0.28,0.88,
00096.bmp (green):5,1545,790.97,654.02,0.33,59238,59238,4.13,0.24,0.82,
00101.bmp (green):5,1989,790.83,699.83,0.39,77025,77025,4.84,0.21,0.89,
00106.bmp (green):5,2073,790.27,751.33,0.47,88903,88903,4.56,0.22,0.95,
00111.bmp (green):5,2346,788.06,808.85,0.46,111531,111531,3.90,0.26,0.86,
00116.bmp (green):5,2245,774.36,854.17,0.43,109859,109859,3.39,0.29,0.78,
00121.bmp (green):5,2068,788.63,849.76,0.44,93440,93440,2.54,0.39,0.74,
00126.bmp (green):5,2298,777.61,853.57,0.51,140219,140219,1.61,0.62,0.79,
00131.bmp (green):5,2344,757.06,864.14,0.50,120178,120178,3.81,0.26,0.90,
00136.bmp (green):5,2510,724.16,873.80,0.49,156859,156859,3.70,0.27,0.95,
00141.bmp (green):5,2411,687.44,870.92,0.52,144037,144037,3.29,0.30,0.88,
00146.bmp (green):5,2237,629.84,868.69,0.42,150123,150123,3.21,0.31,0.90,
00151.bmp (green):5,2383,571.00,870.03,0.54,151329,151329,3.41,0.29,0.94,
00156.bmp (green):5,2539,529.54,874.71,0.52,159398,159398,3.53,0.28,0.93,
00161.bmp (green):5,2657,507.30,852.82,0.54,166479,166479,3.26,0.31,0.87,
00166.bmp (green):5,2527,507.39,840.81,0.51,158011,158011,2.53,0.39,0.80,
00171.bmp (green):5,2297,501.83,837.82,0.49,153879,153879,3.15,0.32,0.92,
00176.bmp (green):5,2253,496.90,789.43,0.44,121088,121088,3.79,0.26,0.93,
00181.bmp (green):5,2154,494.13,735.00,0.49,111785,111785,3.56,0.28,0.87,
00186.bmp (green):5,2086,494.35,718.89,0.45,93425,93425,3.10,0.32,0.76,
00191.bmp (green):5,2113,492.60,692.47,0.44,84384.00,84384.00,3.97,0.25,0.83,
00196.bmp (green):5,1744,494.65,648.29,0.48,79043,79043,3.53,0.28,0.89,
00201.bmp (green):5,1497,491.68,612.99,0.27,51362.00,51362.00,3.60,0.28,0.71,
00206.bmp (green):5,2224,509.08,592.94,0.46,104049,104049,3.26,0.31,0.80,
00211.bmp (green):5,1669,537.51,569.52,0.53,85506,85506,3.04,0.33,0.93,
00216.bmp (green):5,1756,585.37,568.41,0.45,91002,91002,3.06,0.33,0.92,
00221.bmp (green):5,1789,651.69,567.20,0.49,86015,86015,3.52,0.28,0.94,
00226.bmp (green):5,1905,718.76,566.17,0.44,88248,88248,3.97,0.25,0.92,
00231.bmp (green):5,1798,757.45,569.45,0.46,86457,86457,2.97,0.34,0.85,
00236.bmp (green):5,2101,761.77,575.24,0.47,101971,101971,2.59,0.39,0.81,
00241.bmp (green):5,2041,764.65,577.58,0.48,92169,92169,2.85,0.35,0.79,
00246.bmp (green):5,1902,768.69,581.93,0.47,89471,89471,3.15,0.32,0.91,
00251.bmp (green):5,1803,772.54,586.71,0.36,73775,73775,3.68,0.27,0.82,
00256.bmp (green):5,1655,782.26,598.90,0.48,77123,77123,3.22,0.31,0.90,
00261.bmp (green):5,1685,789.04,649.10,0.54,78414,78414,3.11,0.32,0.93,
00266.bmp (green):5,1920,789.99,712.99,0.45,88997,88997,3.94,0.25,0.91,
00271.bmp (green):5,2254,791.48,778.09,0.43,97696,97696,4.92,0.20,0.93,
